idx,hgmURL,TruparURL,liftPartsURL
1,http://store.hgmforkliftparts.com/-p522168.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC4920195%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/SearchResults.asp?Search=ac4920195&Submit=Submit
2,http://store.hgmforkliftparts.com/-p1313407.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC07043-50108%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/SearchResults.asp?Search=AC07043-50108
3,http://store.hgmforkliftparts.com/-p520924.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC4848753%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/SearchResults.asp?Search=AC4848753
4,http://store.hgmforkliftparts.com/-p520925.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC4848754%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/SearchResults.asp?Search=AC4848754
5,http://store.hgmforkliftparts.com/-p521513.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC4908743%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/SearchResults.asp?Search=AC4908743
6,http://store.hgmforkliftparts.com/-p520306.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC4713374%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/product-p/AC4713374.htm
7,http://store.hgmforkliftparts.com/-p1329094.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DAC3FE-55-11230%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/product-p/AC3FE-55-11230.htm
8,http://store.hgmforkliftparts.com/-p789047.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DPM26460-00%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/product-p/PM26460-00.htm
9,http://store.hgmforkliftparts.com/-p1267695.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DBJ073507%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/product-p/BJ073507.htm
10,http://store.hgmforkliftparts.com/-p537142.aspx,https://trupar.com/product/?grid%5Bfrontend-product-search-grid%5D=i%3D1%26p%3D12%26f%255Ball_text%255D%255Bvalue%255D%3DBJ051141%26f%255Ball_text%255D%255Btype%255D%3D1%26c%3D%26v%3D__all__%26a%3Dgrid%26g%255BoriginalRoute%255D%3Doro_product_frontend_product_index,https://www.liftpartswarehouse.com/product-p/BJ051141.htm
